variety_name,detail_url,jina,zao,crop_common,crop_scientific,crop_full_name,mwaka_usajili,registrant,altitude_range,altitude_min,altitude_max,suitable_regions,grain_yield,grain_yield_min,grain_yield_max,distinctive_characters,days_to_tasseling,plant_height_cm,grain_size,stem_colour,additional_fields
NANCY RZ F1,https://www.tosci.go.tz/seed-varieties/nancy-rz-f1,,Tomato (Solanum lycopersicum),Tomato,,,2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
NANTES,https://www.tosci.go.tz/seed-varieties/nantes,,Carrot (Daucus carota  ),Carrot,,,2021,EASEED (T) LTD/SEEDCO TZ,,,,,,,,,,,,,{}
NANTES CORELESS,https://www.tosci.go.tz/seed-varieties/nantes-coreless,,Carrot (Daucus carota  ),Carrot,,,2021,BALTON Tanzania Ltd,,,,,,,,,,,,,{}
NARINUT 2015,https://www.tosci.go.tz/seed-varieties/narinut-2015,,Ground nut (Arachis hypogeae L.),Ground nut,,,2015,ARI-Naliendele,,,,,,,,,,,,,{}
NATA H 104,https://www.tosci.go.tz/seed-varieties/nata-h-104,,Maize (Zea mays L.),Maize,,,2012,Aminata Quality Seed and Consultancy Ltd,,,,,,,,,,,,,{}
NATA H 105,https://www.tosci.go.tz/seed-varieties/nata-h-105,,Maize (Zea mays L.),Maize,,,2012,Aminata Quality Seed and Consultancy Ltd,,,,,,,,,,,,,{}
NATA H401,https://www.tosci.go.tz/seed-varieties/nata-h401,,Maize (Zea mays L.),Maize,,,2016,Aminata Quality Seed and Consultancy,,,,,,,,,,,,,{}
NATA K 8,https://www.tosci.go.tz/seed-varieties/nata-k-8,,Maize (Zea mays L.),Maize,,,2016,Aminata Quality Seed and Consultancy,,,,,,,,,,,,,{}
NATION RZ,https://www.tosci.go.tz/seed-varieties/nation-rz,,Letuce (Lactuca sativa  ),Letuce,,,2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
NDOVU,https://www.tosci.go.tz/seed-varieties/ndovu,,Watermelon  (Citrullus lanatus    ),Watermelon,,,2021,ULTRVETIS TANZANIA LTD,,,,,,,,,,,,,{}
Nduruma,https://www.tosci.go.tz/seed-varieties/nduruma,,African Nightshade (Solanum scabrum),African Nightshade,,,2011,HORTI-Tengeru,,,,,,,,,,,,,{}
NEPTUNE F1,https://www.tosci.go.tz/seed-varieties/neptune-f1,,Onion (Allium cepa L  ),Onion,,,2021,BALTON Tanzania Ltd.,,,,,,,,,,,,,{}
NERICA 1,https://www.tosci.go.tz/seed-varieties/nerica-1,,Paddy (Oryza sativa),Paddy,,,2009,KATRIN,,,,,,,,,,,,,{}
NERICA 2,https://www.tosci.go.tz/seed-varieties/nerica-2,,Paddy (Oryza sativa),Paddy,,,2009,KATRIN,,,,,,,,,,,,,{}
NERICA 4,https://www.tosci.go.tz/seed-varieties/nerica-4,,Paddy (Oryza sativa),Paddy,,,2009,KATRIN,,,,,,,,,,,,,{}
NERICA 7,https://www.tosci.go.tz/seed-varieties/nerica-7,,Paddy (Oryza sativa),Paddy,,,2009,KATRIN,,,,,,,,,,,,,{}
Ngoli,https://www.tosci.go.tz/seed-varieties/ngoli,,Wheat (Triticum aestivum.L),Wheat,,,2014,ARI Uyole,,,,,,,,,,,,,{}
NGURUMA,https://www.tosci.go.tz/seed-varieties/nguruma,,,,,,2021,HORTI- Tengeru,,,,,,,,,,,,,{}
Nice F1,https://www.tosci.go.tz/seed-varieties/nice-f1,,Callard (Brassica oleraceae var. acephala),Callard,,,2023,Continental Seeds Company,,,,,,,,,,,,,{}
NIKOMATE F1,https://www.tosci.go.tz/seed-varieties/nikomate-f1,,Tomato (Solanum lycopersicum),Tomato,,,2021,BALTON TANZANIA LTD,,,,,,,,,,,,,{}
NJANO,https://www.tosci.go.tz/seed-varieties/njano,,Mahindi,Mahindi,,,2025,WAKULIMA,,,,,,,,,,,,,{}
Njano Uyole,https://www.tosci.go.tz/seed-varieties/njano-uyole,,Bean (Phaseolus vulgaris L.),Bean,,,2008,ARI Uyole,,,,,,,,,,,,,{}
Njombe 6,https://www.tosci.go.tz/seed-varieties/njombe-6,,Wheat (Triticum aestivum.L),Wheat,,,1987,TANWAT,,,,,,,,,,,,,{}
NJOTO F1,https://www.tosci.go.tz/seed-varieties/njoto-f1,,Cabbage,Cabbage,,,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
NMD19,https://www.tosci.go.tz/seed-varieties/nmd19,,Lablab bean (Lablab purpureus),Lablab bean,,,2021,Nelson Mandela African Institute of Science and Technology (NM-AIST),,,,,,,,,,,,,{}
NMD20,https://www.tosci.go.tz/seed-varieties/nmd20,,Lablab bean (Lablab purpureus),Lablab bean,,,2021,Nelson Mandela African Institute of Science and Technology (NM-AIST),,,,,,,,,,,,,{}
NORA F1,https://www.tosci.go.tz/seed-varieties/nora-f1,,Okra (Abelmoschus esculentus  ),Okra,,,2022,ARYSTA LIFESCIENCE TZ LTD,,,,,,,,,,,,,{}
NSFH 145,https://www.tosci.go.tz/seed-varieties/nsfh-145,,Sunflower (Helianthus annus L.),Sunflower,,,2015,Sunflower Development Company Ltd (SDC),,,,,,,,,,,,,{}
NSFH 36,https://www.tosci.go.tz/seed-varieties/nsfh-36,,Sunflower (Helianthus annus L.),Sunflower,,,2015,Sunflower Development Company Ltd (SDC),,,,,,,,,,,,,{}
NTA 93 -21,https://www.tosci.go.tz/seed-varieties/nta-93-21,,Cotton (Gossypium hirsutum L),Cotton,,,2014,ARI Ilonga,,,,,,,,,,,,,{}
NURU,https://www.tosci.go.tz/seed-varieties/nuru-2,,Okra (Abelmoschus esculentus  ),Okra,,,2021,East West Seed (T)Limited,,,,,,,,,,,,,{}
Nyati,https://www.tosci.go.tz/seed-varieties/nyati,,Wheat (Triticum aestivum.L),Wheat,,,1973,ARI Selian,,,,,,,,,,,,,{}
NYATI F1,https://www.tosci.go.tz/seed-varieties/nyati-f1,,Tomato (Solanum lycopersicum),Tomato,,,2021,Ultravetis Tanzania Ltd,,,,,,,,,,,,,{}
Nyota (Span cross),https://www.tosci.go.tz/seed-varieties/nyota-span-cross,,Ground nut (Arachis hypogeae L.),Ground nut,,,1983,ARI Naliendele,,,,,,,,,,,,,{}
NYOTA F1,https://www.tosci.go.tz/seed-varieties/nyota-f1,,Tomato (Solanum lycopersicum),Tomato,,,2021,Kibo Seeds Company Ltd,,,,,,,,,,,,,{}
NZITO F1,https://www.tosci.go.tz/seed-varieties/nzito-f1,,Watermelon  (Citrullus lanatus    ),Watermelon,,,2021,BALTON TANZANIA LTD,,,,,,,,,,,,,{}
OH102,https://www.tosci.go.tz/seed-varieties/oh102,,Okra (Abelmoschus esculentus  ),Okra,,,2022,SYNGENTA TANZANIA LTD,,,,,,,,,,,,,{}
OK 105 IS F1,https://www.tosci.go.tz/seed-varieties/ok-105-is-f1,,Okra (Abelmoschus esculentus  ),Okra,,,2021,INDAF SEED&TECHNOLOGY,,,,,,,,,,,,,{}
OK 106 IS F1,https://www.tosci.go.tz/seed-varieties/ok-106-is-f1,,Okra (Abelmoschus esculentus  ),Okra,,,2021,INDAF SEED&TECHNOLOGY,,,,,,,,,,,,,{}
OK 107 IS F1,https://www.tosci.go.tz/seed-varieties/ok-107-is-f1,,Okra (Abelmoschus esculentus  ),Okra,,,2021,INDAF SEED&TECHNOLOGY,,,,,,,,,,,,,{}
Okoa,https://www.tosci.go.tz/seed-varieties/okoa,,Pearl Millet (Pennisetum glaucum L.),Pearl Millet,,,1994,ARI Ilonga,,,,,,,,,,,,,{}
Olevolosi,https://www.tosci.go.tz/seed-varieties/olevolosi,,African Nightshade (Solanum scabrum),African Nightshade,,,2011,HORTI-Tengeru,,,,,,,,,,,,,{}
Oshirit F1,https://www.tosci.go.tz/seed-varieties/oshirit-f1,,Tomato (Solanum lycopersicum),Tomato,,,2024,Seedco Tanzania Ltd,,,,,,,,,,,,,{}
Oshma F1,https://www.tosci.go.tz/seed-varieties/oshma-f1,,Hot pepper (Capsicum annum L.),Hot pepper,,,2023,Vetagro (EA) ltd,,,,,,,,,,,,,{}
P2809W,https://www.tosci.go.tz/seed-varieties/p2809w,,Maize (Zea mays L.),Maize,,,2021,Pannar Overseas Corporation (T) Ltd,,,,,,,,,,,,,{}
P2848W,https://www.tosci.go.tz/seed-varieties/p2848w,,Maize (Zea mays L.),Maize,,,2023,Corteva Agriscience Tanzania Ltd,,,,,,,,,,,,,{}
P2859W,https://www.tosci.go.tz/seed-varieties/p2859w,,Maize (Zea mays L.),Maize,,,2010,Pioneer Hybrid Seeds Ltd,,,,,,,,,,,,,{}
P3531W,https://www.tosci.go.tz/seed-varieties/p3531w,,MAHINDI,MAHINDI,,,2025,Corteva Agriscience Tanzania,,,,,,,,,,,,,{}
P3812W,https://www.tosci.go.tz/seed-varieties/p3812w,,Maize (Zea mays L.),Maize,,,2013,Pioneer Overseas Corporation,,,,,,,,,,,,,{}
PAC 501,https://www.tosci.go.tz/seed-varieties/pac-501,,Sorghum (Sorghum bicolor (L.),Sorghum,,,2014,Advanta Seed Company,,,,,,,,,,,,,{}
PAC 537,https://www.tosci.go.tz/seed-varieties/pac-537,,Sorghum (Sorghum bicolor (L.),Sorghum,,,2014,Advanta Seed Company,,,,,,,,,,,,,{}
PAC8577,https://www.tosci.go.tz/seed-varieties/pac8577,,Paddy (Oryza sativa),Paddy,,,2021,Bytrade Tanzania Limited.,,,,,,,,,,,,,{}
Padma F1,https://www.tosci.go.tz/seed-varieties/padma-f1,,Tomato (Solanum lycopersicum),Tomato,,,2023,Continental Seeds Company,,,,,,,,,,,,,{}
PAN 15,https://www.tosci.go.tz/seed-varieties/pan-15,,Maize (Zea mays L.),Maize,,,2001,Pannar Seeds Co. Ltd,,,,,,,,,,,,,{}
PAN 33,https://www.tosci.go.tz/seed-varieties/pan-33,,Maize (Zea mays L.),Maize,,,2003,Pannar (Pty) Ltd,,,,,,,,,,,,,{}
PAN 3M-01,https://www.tosci.go.tz/seed-varieties/pan-3m-01,,Maize (Zea mays L.),Maize,,,2012,Pannar seed Company (T) Ltd,,,,,,,,,,,,,{}
PAN 3M-05,https://www.tosci.go.tz/seed-varieties/pan-3m-05,,Maize (Zea mays L.),Maize,,,2022,CORTEVA AGR.SCIENCE TANZANIA LTD,,,,,,,,,,,,,{}
PAN 4 M-17,https://www.tosci.go.tz/seed-varieties/pan-4-m-17,,Maize (Zea mays L.),Maize,,,2004,Pannar (Pty) Ltd,,,,,,,,,,,,,{}
PAN 4M-11,https://www.tosci.go.tz/seed-varieties/pan-4m-11,,Maize (Zea mays L.),Maize,,,2023,Corteva Agriscience Tanzania Ltd,,,,,,,,,,,,,{}
PAN 4M-19,https://www.tosci.go.tz/seed-varieties/pan-4m-19,,Maize (Zea mays L.),Maize,,,2004,Pannar (Pty) Ltd,,,,,,,,,,,,,{}
PAN 4M-21,https://www.tosci.go.tz/seed-varieties/pan-4m-21,,Maize (Zea mays L.),Maize,,,2012,Pannar seed Company (T) Ltd,,,,,,,,,,,,,{}
PAN 4M-23,https://www.tosci.go.tz/seed-varieties/pan-4m-23,,Maize (Zea mays L.),Maize,,,2019,PANNAR SEED (PVT) LTD,,,,,,,,,,,,,{}
PAN 53,https://www.tosci.go.tz/seed-varieties/pan-53,,Maize (Zea mays L.),Maize,,,2023,Corteva Agriscience Tanzania Ltd,,,,,,,,,,,,,{}
PAN 5M-35,https://www.tosci.go.tz/seed-varieties/pan-5m-35,,Maize (Zea mays L.),Maize,,,2012,Pannar seed Company (T) Ltd,,,,,,,,,,,,,{}
PAN 6195,https://www.tosci.go.tz/seed-varieties/pan-6195,,Maize (Zea mays L.),Maize,,,1995,Pannar Seeds Co.Ltd,,,,,,,,,,,,,{}
PAN 6243,https://www.tosci.go.tz/seed-varieties/pan-6243,,Maize (Zea mays L.),Maize,,,1999,Pannar Seed Co. Ltd,,,,,,,,,,,,,{}
PAN 63,https://www.tosci.go.tz/seed-varieties/pan-63,,Maize (Zea mays L.),Maize,,,2003,Pannar (Pty) Ltd,,,,,,,,,,,,,{}
PAN 6481,https://www.tosci.go.tz/seed-varieties/pan-6481,,Maize (Zea mays L.),Maize,,,1995,Pannar Seeds Co. Ltd,,,,,,,,,,,,,{}
PAN 691,https://www.tosci.go.tz/seed-varieties/pan-691,,Maize (Zea mays L.),Maize,,,2001,Pannar Seeds Co. Ltd,,,,,,,,,,,,,{}
PAN 695,https://www.tosci.go.tz/seed-varieties/pan-695,,Maize (Zea mays L.),Maize,,,1995,Pannar Seeds Co.Ltd,,,,,,,,,,,,,{}
PAN 7352,https://www.tosci.go.tz/seed-varieties/pan-7352,,Sunflower (Helianthus annus L.),Sunflower,,,2002,Pannar Seed Co.,,,,,,,,,,,,,{}
PAN 77,https://www.tosci.go.tz/seed-varieties/pan-77,,Maize (Zea mays L.),Maize,,,2001,Pannar Seeds Co. Ltd,,,,,,,,,,,,,{}
PAN 7M-81,https://www.tosci.go.tz/seed-varieties/pan-7m-81,,Maize (Zea mays L.),Maize,,,2019,PANNAR SEED (PVT) LTD,,,,,,,,,,,,,{}
PAN 7M-87,https://www.tosci.go.tz/seed-varieties/pan-7m-87,,Maize (Zea mays L.),Maize,,,2022,CORTEVA AGR.SCIENCS LTD,,,,,,,,,,,,,{}
PAN 9M-91,https://www.tosci.go.tz/seed-varieties/pan-9m-91,,Maize,Maize,,,2025,CORTEVA AGRISCIENCE TANZANIA LTD,,,,,,,,,,,,,{}
PAN6549,https://www.tosci.go.tz/seed-varieties/pan6549,,Maize (Zea mays L.),Maize,,,1995,Pannar Seeds Co. Ltd,,,,,,,,,,,,,{}
Panamera,https://www.tosci.go.tz/seed-varieties/panamera,,Round Potato (Solanum tuberosum),Round Potato,,,2019,HZPC IPR B.V,,,,,,,,,,,,,{}
PASARELLA,https://www.tosci.go.tz/seed-varieties/pasarella,,Sweet pepper (Capsicum annuum),Sweet pepper,,,2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
Pasi,https://www.tosci.go.tz/seed-varieties/pasi,,Bean (Phaseolus vulgaris L.),Bean,,,2012,ARI Uyole,,,,,,,,,,,,,{}
PATA NEGRA,https://www.tosci.go.tz/seed-varieties/pata-negra,,Watermelon  (Citrullus lanatus    ),Watermelon,,,2021,MONSANTO TANZANIA LTD,,,,,,,,,,,,,{}
Pato,https://www.tosci.go.tz/seed-varieties/pato,,Sorghum (Sorghum bicolor (L.),Sorghum,,,1997,ARI Ilonga,,,,,,,,,,,,,{}
PATO F1,https://www.tosci.go.tz/seed-varieties/pato-f1,,Watermelon  (Citrullus lanatus    ),Watermelon,,,2021,AGRECHEM AFRICA LTD,,,,,,,,,,,,,{}
PD4,https://www.tosci.go.tz/seed-varieties/pd4,,Tobacco (Nicotiana tabacum L.),Tobacco,,,1992,ARI Tumbi,,,,,,,,,,,,,{}
Pendo 98 (Spanish),https://www.tosci.go.tz/seed-varieties/pendo-98-spanish,,Ground nut (Arachis hypogeae L.),Ground nut,,,1998,ARI Naliendele,,,,,,,,,,,,,{}
PERU F1,https://www.tosci.go.tz/seed-varieties/peru-f1,,Sweet pepper (Capsicum annuum),Sweet pepper,,,2021,Pop Vriend (T) Ltd.,,,,,,,,,,,,,{}
Pesa,https://www.tosci.go.tz/seed-varieties/pesa,,Bean (Phaseolus vulgaris L.),Bean,,,2006,SUA,,,,,,,,,,,,,{}
PHB30A15,https://www.tosci.go.tz/seed-varieties/phb30a15,,Maize (Zea mays L.),Maize,,,1999,Pioneer Seed Co. Ltd,,,,,,,,,,,,,{}
PHB30G97,https://www.tosci.go.tz/seed-varieties/phb30g97,,Maize (Zea mays L.),Maize,,,2001,Pioneer Seed Co.,,,,,,,,,,,,,{}
PHB30H83,https://www.tosci.go.tz/seed-varieties/phb30h83,,Maize (Zea mays L.),Maize,,,2001,Pioneer Seed Co.,,,,,,,,,,,,,{}
PHILEX,https://www.tosci.go.tz/seed-varieties/philex,,Squash ( Cucurbita Maxima ),Squash,,,2021,CONTINENTAL SEED,,,,,,,,,,,,,{}
PICUS,https://www.tosci.go.tz/seed-varieties/picus,,Tomato (Solanum lycopersicum),Tomato,,,2022,MONSANTO TZ LTD,,,,,,,,,,,,,{}
Pilot F1,https://www.tosci.go.tz/seed-varieties/pilot-f1,,Tomato (Solanum lycopersicum),Tomato,,,2024,Agrichem Africa Tanzania Ltd,,,,,,,,,,,,,{}
PK 449,https://www.tosci.go.tz/seed-varieties/pk-449,,Pumpkin (Cucurbita pepo  ),Pumpkin,,,2021,AFRICASIA Seed CO. LTD,,,,,,,,,,,,,{}
PK F1,https://www.tosci.go.tz/seed-varieties/pk-f1,,Pumpkin (Cucurbita pepo  ),Pumpkin,,,2021,BALTON TANZANIA LTD,,,,,,,,,,,,,{}
PLATO,https://www.tosci.go.tz/seed-varieties/plato,,Sweet pepper (Capsicum annuum),Sweet pepper,,,2021,Monsanto Tanzania Ltd,,,,,,,,,,,,,{}
PLENTY F1,https://www.tosci.go.tz/seed-varieties/plenty-f1,,Cauliflower (Brassica oleracea var. botrytis  ),Cauliflower,,,2021,CONTINENTAL SEEDS,,,,,,,,,,,,,{}
Pluto F1,https://www.tosci.go.tz/seed-varieties/pluto-f1,,Butternut (Cucurbita moschota),Butternut,,,2023,Balton Tanzania Ltd,,,,,,,,,,,,,{}
POLI,https://www.tosci.go.tz/seed-varieties/poli,,Amaranth  (Amaranthus spp ),Amaranth,,,2021,HORTI- Tengeru,,,,,,,,,,,,,{}
Polista,https://www.tosci.go.tz/seed-varieties/polista,,Sweet potatoes (Ipomea batatas  L.),Sweet potatoes,,,2013,ARI – Ukiriguru,,,,,,,,,,,,,{}
PRETORIA F1,https://www.tosci.go.tz/seed-varieties/pretoria-f1,,Cabbage (Brassica oleracea var. capitata  ),Cabbage,,,2021,REGINA SEED LTD,,,,,,,,,,,,,{}
Prima F1,https://www.tosci.go.tz/seed-varieties/prima-f1,,Chinese Cabbage  (Brassica rapa),Chinese Cabbage,,,2024,EASI Seeds Tanzania Ltd,,,,,,,,,,,,,{}
PRIMARINO RZ F1.,https://www.tosci.go.tz/seed-varieties/primarino-rz-f1,,Tomato (Solanum lycopersicum),Tomato,,,2021,Rijk Zwaan Afrisem Ltd,,,,,,,,,,,,,{}
PRINCE F1,https://www.tosci.go.tz/seed-varieties/prince-f1,,Cucumber (Cucumis sativus  ),Cucumber,,,2021,REGINA SEED LTD,,,,,,,,,,,,,{}
PRINCESS F1,https://www.tosci.go.tz/seed-varieties/princess-f1,,Watermelon  (Citrullus lanatus    ),Watermelon,,,2021,KIBO SEEDS Co. Ltd.,,,,,,,,,,,,,{}
PVH 2254,https://www.tosci.go.tz/seed-varieties/pvh-2254,,Tobacco (Nicotiana tabacum L.),Tobacco,,,2018,TORITA,,,,,,,,,,,,,{}
PVH 2259,https://www.tosci.go.tz/seed-varieties/pvh-2259,,Tobacco (Nicotiana tabacum L.),Tobacco,,,2018,TORITA,,,,,,,,,,,,,{}
PVH 2275,https://www.tosci.go.tz/seed-varieties/pvh-2275,,Tobacco (Nicotiana tabacum L.),Tobacco,,,2018,TORITA,,,,,,,,,,,,,{}
PW 416 F1,https://www.tosci.go.tz/seed-varieties/pw-416-f1,,Watermelon  (Citrullus lanatus    ),Watermelon,,,2021,Pop Vriend (T) Ltd.,,,,,,,,,,,,,{}
PW 417 F1,https://www.tosci.go.tz/seed-varieties/pw-417-f1,,Watermelon  (Citrullus lanatus    ),Watermelon,,,2021,Pop Vriend (T) Ltd.,,,,,,,,,,,,,{}
Pwani,https://www.tosci.go.tz/seed-varieties/pwani,,Cassava  (Manihot spp.),Cassava,,,2012,ARI Naliendele,,,,,,,,,,,,,{}
Pwani H04,https://www.tosci.go.tz/seed-varieties/pwani-h04,,Maize (Zea mays L.),Maize,,,2001,Kenya Seed Co,,,,,,,,,,,,,{}
QUINA F1,https://www.tosci.go.tz/seed-varieties/quina-f1,,Chinese Cabbage,Chinese Cabbage,,,2025,CONTINENTAL SEED COMPANY LTD,,,,,,,,,,,,,{}
R 570,https://www.tosci.go.tz/seed-varieties/r-570,,Sugar cane (Saccharum officinarum),Sugar cane,,,2014,SRI-Kibaha,,,,,,,,,,,,,{}
R 575,https://www.tosci.go.tz/seed-varieties/r-575,,Sugar cane (Saccharum officinarum),Sugar cane,,,2014,SRI-Kibaha,,,,,,,,,,,,,{}
R 579,https://www.tosci.go.tz/seed-varieties/r-579,,Sugar cane (Saccharum officinarum),Sugar cane,,,2014,SRI-Kibaha,,,,,,,,,,,,,{}
R570,https://www.tosci.go.tz/seed-varieties/r570,,Sugar cane (Saccharum officinarum),Sugar cane,,,2021,Tanzania Agricultural Research Institute (TARI,,,,,,,,,,,,,{}
R85/1334,https://www.tosci.go.tz/seed-varieties/r85-1334,,Sugar cane (Saccharum officinarum),Sugar cane,,,2021,Tanzania Agricultural Research Institute (TARI),,,,,,,,,,,,,{}
RADAH F1,https://www.tosci.go.tz/seed-varieties/radah-f1,,Sweet pepper (Capsicum annuum),Sweet pepper,,,2021,Pop Vriend (T) Ltd.,,,,,,,,,,,,,{}
RADAR F1,https://www.tosci.go.tz/seed-varieties/radar-f1,,Sweet pepper (Capsicum annuum),Sweet pepper,,,2021,Pop Vriend (T) Ltd,,,,,,,,,,,,,{}
Rakodzi,https://www.tosci.go.tz/seed-varieties/rakodzi,,Sorghum (Sorghum bicolor (L.),Sorghum,,,2019,Klein Karoo Seed Marketing Zimbabwe,,,,,,,,,,,,,{}
RAMBO F1,https://www.tosci.go.tz/seed-varieties/rambo-f1,,Tomato (Solanum lycopersicum),Tomato,,,2021,REGINA SEED LTD,,,,,,,,,,,,,{}
Rampart,https://www.tosci.go.tz/seed-varieties/rampart,,Rape (Brassica napus),Rape,,,2023,Seedco Tanzania Ltd,,,,,,,,,,,,,{}
RANDAH F1,https://www.tosci.go.tz/seed-varieties/randah-f1,,Tomato (Solanum lycopersicum),Tomato,,,2021,Balton Tanzania Ltd,,,,,,,,,,,,,{}
RANGER F1,https://www.tosci.go.tz/seed-varieties/ranger-f1,,Tomato (Solanum lycopersicum),Tomato,,,2021,CONTINENTAL SEED,,,,,,,,,,,,,{}
Rangi Mbili,https://www.tosci.go.tz/seed-varieties/rangi-mbili,,Cassava  (Manihot spp.),Cassava,,,2009,ARI-Ukiriguru,,,,,,,,,,,,,{}
RAS F1,https://www.tosci.go.tz/seed-varieties/ras-f1,,Hot pepper (Capsicum annuum ),Hot pepper,,,2021,Balton Tanzania Ltd,,,,,,,,,,,,,{}
RAVA FSC,https://www.tosci.go.tz/seed-varieties/rava-fsc,,Chinese Cabbage  (Brassica rapa),Chinese Cabbage,,,2023,Continental Seeds co Ltd,,,,,,,,,,,,,{}
RED BOMBAY,https://www.tosci.go.tz/seed-varieties/red-bombay,,Onion (Allium cepa L  ),Onion,,,2021,TASTA,,,,,,,,,,,,,{}
RED CARABIAN,https://www.tosci.go.tz/seed-varieties/red-carabian,,Hot pepper (Capsicum annuum ),Hot pepper,,,2021,AFRICASIA Seed CO. LTD,,,,,,,,,,,,,{}
RED COACH F1,https://www.tosci.go.tz/seed-varieties/red-coach-f1,,Onion (Allium cepa L  ),Onion,,,2021,REGINA SEED LTD,,,,,,,,,,,,,{}
RED CORNET F1,https://www.tosci.go.tz/seed-varieties/red-cornet-f1,,Onion (Allium cepa L  ),Onion,,,2021,CONTINENTAL SEEDS,,,,,,,,,,,,,{}
RED CREOLE,https://www.tosci.go.tz/seed-varieties/red-creole,,Onion (Allium cepa L  ),Onion,,,2021,TASTA,,,,,,,,,,,,,{}
RED JET RZ F1,https://www.tosci.go.tz/seed-varieties/red-jet-rz-f1,,Sweet pepper (Capsicum annuum),Sweet pepper,,,2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
RED KING F1,https://www.tosci.go.tz/seed-varieties/red-king-f1,,Onion (Allium cepa L  ),Onion,,,2021,Vegseed (E.A) Company,,,,,,,,,,,,,{}
RED KNIGHT X3R,https://www.tosci.go.tz/seed-varieties/red-knight-x3r,,Sweet pepper (Capsicum annuum),Sweet pepper,,,2021,MONSANTO TANZANIA LTD,,,,,,,,,,,,,{}
RED MANTEL FCS,https://www.tosci.go.tz/seed-varieties/red-mantel-fcs,,Onion (Allium cepa L  ),Onion,,,2021,CONTINENTAL SEEDS,,,,,,,,,,,,,{}
Red Mwitunde,https://www.tosci.go.tz/seed-varieties/red-mwitunde,,Ground nut (Arachis hypogeae L.),Ground nut,,,1976,ARI Naliendele,,,,,,,,,,,,,{}
RED PLANET,https://www.tosci.go.tz/seed-varieties/red-planet,,Onion,Onion,,,2025,EPINAV AGRICULTURAL SOLUTIONS,,,,,,,,,,,,,{}
RED QUEEN F1,https://www.tosci.go.tz/seed-varieties/red-queen-f1,,Onion (Allium cepa L  ),Onion,,,2021,East African Seeds (T) Ltd.,,,,,,,,,,,,,{}
RED ROYALE F1,https://www.tosci.go.tz/seed-varieties/red-royale-f1,,Papaya (Carica papaya  ),Papaya,,,2021,East West Seed (T)Limited,,,,,,,,,,,,,{}
RED SANGA F1,https://www.tosci.go.tz/seed-varieties/red-sanga-f1,,Onion (Allium cepa L  ),Onion,,,2021,East African Seeds (T) Ltd.,,,,,,,,,,,,,{}
RED THUNDER F1,https://www.tosci.go.tz/seed-varieties/red-thunder-f1,,Cabbage (Brassica oleracea var. capitata  ),Cabbage,,,2021,SEEDCO TZ Ltd.,,,,,,,,,,,,,{}
REVELATION,https://www.tosci.go.tz/seed-varieties/revelation,,Sweet pepper (Capsicum annuum),Sweet pepper,,,2021,Monsanto Tanzania Ltd,,,,,,,,,,,,,{}
RG 17,https://www.tosci.go.tz/seed-varieties/rg-17,,Tobacco (Nicotiana tabacum L.),Tobacco,,,2006,Tanzania Leaf Tobacco Company,,,,,,,,,,,,,{}
RIO GRANDE,https://www.tosci.go.tz/seed-varieties/rio-grande,,Tomato (Solanum lycopersicum),Tomato,,,2021,TASTA,,,,,,,,,,,,,{}
RIONEX,https://www.tosci.go.tz/seed-varieties/rionex,,Tomato (Solanum lycopersicum),Tomato,,,2021,CONTINENTAL SEED,,,,,,,,,,,,,{}
RIZIKI – C1,https://www.tosci.go.tz/seed-varieties/riziki-c1,,Wheat (Triticum aestivum.L),Wheat,,,2006,ARI Selian,,,,,,,,,,,,,{}
Riziki –C2,https://www.tosci.go.tz/seed-varieties/riziki-c2,,Wheat (Triticum aestivum.L),Wheat,,,2006,ARI Selian,,,,,,,,,,,,,{}
ROCK F1,https://www.tosci.go.tz/seed-varieties/rock-f1,,Broccoli ( Brassica oleracea var. italica ),Broccoli,,,2021,CONTINENTAL SEEDS,,,,,,,,,,,,,{}
Rodeo,https://www.tosci.go.tz/seed-varieties/rodeo,,Round Potato (Solanum tuberosum),Round Potato,,,2022,Silverlands Ndolela Limited,,,,,,,,,,,,,{}
Rojo,https://www.tosci.go.tz/seed-varieties/rojo,,Bean (Phaseolus vulgaris L.),Bean,,,1997,SUA,,,,,,,,,,,,,{}
ROMA VF,https://www.tosci.go.tz/seed-varieties/roma-vf,,Tomato (Solanum lycopersicum),Tomato,,,2021,TASTA,,,,,,,,,,,,,{}
ROMUS F1,https://www.tosci.go.tz/seed-varieties/romus-f1,,Cabbage (Brassica oleracea var. capitata  ),Cabbage,,,2021,BALTON Tanzania Ltd.,,,,,,,,,,,,,{}
Rosenda,https://www.tosci.go.tz/seed-varieties/rosenda,,Bean (Phaseolus vulgaris L.),Bean,,,2012,ARI Uyole,,,,,,,,,,,,,{}
Rossy F1,https://www.tosci.go.tz/seed-varieties/rossy-f1,,Cabbage (Brassica oleracea var. capitata),Cabbage,,,2023,Rijk Zwaan Afrisem Ltd,,,,,,,,,,,,,{}
