variety_name,crop_full,registrant,year,detail_url
N 39-7,Coffee (Coffea arabica),TaCRI,2005,https://www.tosci.go.tz/seed-varieties/n-39-7
N 41,Sugar cane (Saccharum officinarum),SRI-Kibaha,2014,https://www.tosci.go.tz/seed-varieties/n-41
N36,Sugar cane (Saccharum officinarum),Tanzania Agricultural Research Institute (TARI),2021,https://www.tosci.go.tz/seed-varieties/n36
N39-10,Coffee (Coffea arabica),TaCRI,2012,https://www.tosci.go.tz/seed-varieties/n39-10
N39-11,Coffee (Coffea arabica),TaCRI,2012,https://www.tosci.go.tz/seed-varieties/n39-11
N39-12,Coffee (Coffea arabica),TaCRI,2012,https://www.tosci.go.tz/seed-varieties/n39-12
N39-8,Coffee (Coffea arabica),TaCRI,2012,https://www.tosci.go.tz/seed-varieties/n39-8
N39-9,Coffee (Coffea arabica),TaCRI,2012,https://www.tosci.go.tz/seed-varieties/n39-9
N47,Sugar cane (Saccharum officinarum),Tanzania Agricultural Research Institute (TARI),2021,https://www.tosci.go.tz/seed-varieties/n47
NACHI 2015,Ground nut (Arachis hypogeae L.),ARI-Naliendele,2015,https://www.tosci.go.tz/seed-varieties/nachi-2015
Nachingwea-09,,ARI-Naliendele,2009,https://www.tosci.go.tz/seed-varieties/nachingwea-09
NACO MTAMA1,Sorghum (Sorghum bicolor (L.),Namburi Agricultural Company,2012,https://www.tosci.go.tz/seed-varieties/naco-mtama1
NACO SH1,Sorghum (Sorghum bicolor (L.),Namburi Agricultural Company,2013,https://www.tosci.go.tz/seed-varieties/naco-sh1
NACO SH2,Sorghum (Sorghum bicolor (L.),Namburi Agricultural Company,2013,https://www.tosci.go.tz/seed-varieties/naco-sh2
NALBA9-2017,Bambaranut (Vigna subterranea),ARI-NALIENDELE,2018,https://www.tosci.go.tz/seed-varieties/nalba9-2017
NalBam -06,Bambaranut (Vigna subterranea),ARI-NALIENDELE,2013,https://www.tosci.go.tz/seed-varieties/nalbam-06
NALBAM 22- 2017,Bambaranut (Vigna subterranea),ARI-NALIENDELE,2018,https://www.tosci.go.tz/seed-varieties/nalbam-22-2017
NalBam-03,Bambaranut (Vigna subterranea),ARI-NALIENDELE,2013,https://www.tosci.go.tz/seed-varieties/nalbam-03
NalBam-04,Bambaranut (Vigna subterranea),ARI-NALIENDELE,2013,https://www.tosci.go.tz/seed-varieties/nalbam-04
NALIENDELE 2016,Ground nut (Arachis hypogeae L.),ARI-Naliendele,2018,https://www.tosci.go.tz/seed-varieties/naliendele-2016
Naliendele 92,Sesame (Sesamum indicum L.),ARI Naliendele,1992,https://www.tosci.go.tz/seed-varieties/naliendele-92-2
Naliendele-09,Ground nut (Arachis hypogeae L.),ARI-Naliendele,2009,https://www.tosci.go.tz/seed-varieties/naliendele-09
NANCY RZ F1,Tomato (Solanum lycopersicum),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/nancy-rz-f1
NANTES,Carrot (Daucus carota  ),EASEED (T) LTD/SEEDCO TZ,2021,https://www.tosci.go.tz/seed-varieties/nantes
NANTES CORELESS,Carrot (Daucus carota  ),BALTON Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/nantes-coreless
NARINUT 2015,Ground nut (Arachis hypogeae L.),ARI-Naliendele,2015,https://www.tosci.go.tz/seed-varieties/narinut-2015
